Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
77,2026-05-28 23:51:53,13.111,neptune,48.031,16.223,5,8,1,4.036,36,46.429,43.182,65.854,12,17,61,127,8,4,0,82.609,28.395,37.097,46,10,2,38,11,3,2,3.522,23
79,2026-04-30 11:10:16,9.943,JuliAless64,36.842,9.952,3,25,0,4.286,23,44.444,33.333,41.667,9,9,49,137,7,4,0,63.415,21.25,43.158,57,8,10,32,25,5,0,3.073,17
80,2026-03-20 14:15:20,12.134,moosepi,36.22,10.153,4,23,0,4.043,22,33.333,34.426,41.026,8,9,46,127,3,3,0,53.704,23.288,42.52,54,10,6,29,25,8,0,2.704,17
82,2026-06-06 18:33:36,18.218,ShiinaMahiru,59.292,20.405,9,9,1,4.326,38,70,59.259,71.429,17,20,67,131,20,23,1,90.909,46.154,30.973,35,7,4,31,7,3,3,4.036,41
88,2026-05-06 11:39:01,15.649,Emdiel,41.176,12.19,4,14,2,4.075,20,43.478,36.667,42.857,8,12,42,125,9,8,0,71.429,7.692,48.039,59,6,6,35,26,3,2,3.407,7
97,2026-05-12 11:36:19,12.124,chaabdu92,36.09,10.505,5,8,0,4.312,23,50,35.417,35.417,10,10,48,133,13,4,0,78.571,18.28,31.579,42,6,5,33,12,3,2,3.5,17
98,2026-05-06 11:39:01,9.123,Comete,32.955,11.206,3,11,0,3.448,18,41.379,38.71,17.857,3,12,29,88,1,5,0,57.895,14,43.182,38,5,5,22,16,7,0,2.711,7
100,2026-04-18 18:35:11,10.647,753,30.4,6.42,0,22,0,4.316,14,30.435,20.833,38.889,6,5,38,125,3,3,0,38.75,15.556,64,80,7,16,31,49,9,0,2.663,7
102,2026-05-07 09:22:15,10.21,MoltenAshes,36.17,7.52,2,8,0,4.549,16,50,48,29.167,5,5,51,141,4,6,1,77.143,22.642,39.506,35,2,4,27,11,2,2,4.114,24
112,2026-01-24 03:16:34,12.792,Legitted,35.593,9.307,5,10,0,4.167,14,52,36,25.581,8,7,42,118,3,3,0,82.609,24.211,19.492,23,3,2,19,4,0,1,3.261,23
